show,season,avg_viewership
friends,1,24.79
friends,2,30.8
friends,3,26.31
friends,4,24.66
friends,5,24.7
friends,6,22.35
friends,7,21.7
friends,8,26.36
friends,9,23.86
friends,10,24.58
seinfeld,1,19.22
seinfeld,2,18.07
seinfeld,3,17.7
seinfeld,4,20.2
seinfeld,5,29.59
seinfeld,6,31.02
seinfeld,7,33.1
seinfeld,8,32.34
seinfeld,9,34.36
tbbt,1,8.44
tbbt,2,10.13
tbbt,3,14.07
tbbt,4,12.52
tbbt,5,14.84
tbbt,6,16.75
tbbt,7,17.65
tbbt,8,17.45
tbbt,9,17.67
tbbt,10,16.62
the_office,1,6.37
the_office,2,8.17
the_office,3,8.49
the_office,4,8.55
the_office,5,8.76
the_office,6,7.65
the_office,7,7.31
the_office,8,5.39
the_office,9,4.14
